language_name,language_code,dir
Nupe,nup-NG,ltr
Nyanja,ny-MW,ltr
Nyankole,nyn-UG,ltr
Occitan (Aran),oc-ES,ltr
Occitan (France),oc-FR,ltr
Odia,or-IN,ltr
Oriya,ory-IN,ltr
Oromo (Ethiopia),om-ET,ltr
Osage,osa-US,ltr
Ossetic,os-GE,ltr
Palauan,pau-PW,ltr
Pali,pi-IN,ltr
Pangasinan,pag-PH,ltr
Papiamentu,pap-CW,ltr
Pashto,ps-PK,rtl
Persian,fa-IR,rtl
Pijin,pis-SB,ltr
Plateau Malagasy,plt-MG,ltr
Pohnpeian (Micronesia),pon-FM,ltr
Polish,pl-PL,ltr
Portuguese (Brazil),pt-BR,ltr
Portuguese (Portugal),pt-PT,ltr
Potawatomi,pot-US,ltr
Prussian,prg-001,ltr
Pulaar (Senegal),fuc-SN,ltr
Punjabi (India),pa-IN,ltr
Punjabi (Pakistan),pa-PK,rtl
Pökoot (Kenya),pko-KE,ltr
Pökoot (Uganda),pko-UG,ltr
Quechua,qu-PE,ltr
Rohingya,rhg-MM,rtl
Rohingyalish,rhl-MM,ltr
Romanian,ro-RO,ltr
Romansh,roh-CH,ltr
Rombo,rof-TZ,ltr
Rundi,run-BI,ltr
Russian,ru-RU,ltr
Rwa,rwk-TZ,ltr
S'gaw Karen (Myanmar),ksw-MM,ltr
Saho (Eritrea),ssy-ER,ltr
Saint Lucian Creole French,acf-LC,ltr
Samburu,saq-KE,ltr
Samoan,sm-WS,ltr
Sango,sg-CF,ltr
Sanskrit,sa-IN,ltr
Santali,sat-IN,ltr
Sardinian,sc-IT,ltr
Scots Gaelic,gd-GB,ltr
Sena,seh-ZW,ltr
Serbian (Cyrillic script),sr-Cyrl-RS,ltr
Serbian (Latin script),sr-Latn-RS,ltr
Serbo-Croatian (Croatia),sh-HR,ltr
Seselwa Creole French,crs-SC,ltr
Sesotho,nso-ZA,ltr
Shambala,ksb-TZ,ltr
Shan,shn-MM,ltr
Shona,sn-ZW,ltr
Sichuan Yi,ii-CN,ltr
